course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills,course_summary,course_description
Foundations of User Experience (UX) Design,Google,Course,1 - 4 Weeks,4.6,742,Beginner,https://www.coursera.org/learn/foundations-user-experience-design,"63,452","['User Experience (UX)', 'UX Research', 'Wireframe', 'Prototype', 'User Experience Design (UXD)']",[],"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed. 
This introductory course considers the three domains of being a teacher:  Professional Knowledge and Understanding; Professional Practice; and Professional Values, Relationships and Engagement.

Enhance your course by joining the Commonwealth teaching community on our website, Facebook and Twitter.
"
"Foundations: Data, Data, Everywhere",Google,Course,1 - 3 Months,4.8,59.9k,Beginner,https://www.coursera.org/learn/foundations-data,"1,077,990","['Spreadsheet', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'SQL']","['Identify common job responsibilities of entry-level UX designers and other teams you might work with. ', 'Understand foundational concepts in UX design, such as user-centered design, the design process, accessibility, and equity-focused design. ', 'Explain why design sprints are an important and useful part of a UX designer’s work.']","Foundations of User Experience (UX) Design is the first of a series of seven courses that will equip you with the skills needed to apply to entry-level jobs in user experience design. UX designers focus on the interactions that people have with products like websites, mobile apps, and physical objects. UX designers make those everyday interactions usable, enjoyable, and accessible. The role of an entry-level UX designer might include empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes, prototypes, and mockups, and testing designs to get feedback. 
Current UX designers and researchers at Google will serve as your instructors, and you will complete hands-on activities that simulate real-world UX design scenarios.

Learners who complete the seven courses in this certificate program should be equipped to apply for entry-level jobs as UX designers. No previous experience is necessary.

By the end of this course, you will be able to: 
   - Define the field of UX and explain why it’s important for consumers and businesses.
   - Understand foundational concepts in UX design, such as user-centered design, the design thinking framework, accessibility, and equity-focused design. 
   - Identify the factors that contribute to great user experience design.
   - Review common job responsibilities of entry-level UX designers and teams that they work with.
   - Explore job opportunities and career paths within the field of user experience.  
   - Explain why design sprints are an important and useful part of a UX designer’s work.
  - Describe common UX research methods. 
   - Identify and account for biases in UX research.
"
Fractal Data Science,Fractal Analytics,Professional Certificate,3 - 6 Months,4.8,93.1k,Beginner,https://www.coursera.org/professional-certificates/fractal-data-science,"2,182,786","['Data storytelling', 'Machine Learning', 'Python Programming', 'Decision-Making', 'Problem Solving', 'power bi', 'SQL']","['Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystem', 'Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking', 'Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics', 'Describe the role of a data analyst with specific reference to jobs/positions']","This is the first course in the Google Data Analytics Certificate. These courses will equip you with the skills you need to apply to introductory-level data analyst jobs. Organizations of all kinds need data analysts to help them improve their processes, identify opportunities and trends, launch new products, and make thoughtful decisions. In this course, you’ll be introduced to the world of data analytics through hands-on curriculum developed by Google. The material shared covers plenty of key data analytics topics, and it’s designed to give you an overview of what’s to come in the Google Data Analytics Certificate. Current Google data analysts will instruct and provide you with hands-on ways to accomplish common data analyst tasks with the best tools and resources.
Learners who complete this certificate program will be equipped to apply for introductory-level jobs as data analysts. No previous experience is necessary.

By the end of this course, you will:
- Gain an understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job. 
- Learn about key analytical skills (data cleaning, data analysis, data visualization) and tools (spreadsheets, SQL, R programming, Tableau) that you can add to your professional toolbox. 
- Discover a wide variety of terms and concepts relevant to the role of a junior data analyst, such as the data life cycle and the data analysis process. 
- Evaluate the role of analytics in the data ecosystem. 
- Conduct an analytical thinking self-assessment. 
- Explore job opportunities available to you upon program completion, and learn about best practices in the job search.
"
From Data to Insights with Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.8,6,Beginner,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform,,"['Bigquery', 'Machine Learning', 'Data Visualization (DataViz)', 'SQL']","[' Apply structured problem-solving techniques to dissect and address complex data-related challenges encountered in real-world scenarios.   ', 'Utilize SQL proficiency to retrieve, manipulate data and employ data visualization skills using Power BI to communicate insights.', 'Apply Python expertise for data manipulation, analysis and implement machine learning algorithms to create predictive models for applications.', 'Create compelling data stories to influence your audience and master the art of critically analyzing data while making decisions and recommendations.']","Data science is projected to create 11.5 1 million global job openings by 2026 and offers many of the remote 2 job opportunities in the industry.
Prepare for a new career in this high-demand field with a Professional Certificate from Fractal Analytics. Whether you're a recent graduate seeking a rewarding career shift or a professional aiming to upskill, this program will equip you with the essential skills demanded by the industry.
This curriculum is designed with a problem-solving approach at the center to equip and enable you with the skills, required to solve data science problems, instead of just focusing on the tools and applications.
Through hands-on courses you'll master Python programming, harness the power of machine learning, cultivate expertise in data manipulation, and build understanding of cognitive factors affecting decisions. You will also learn the direct application of tools like SQL, PowerBI, and Python to real-world scenarios.
Upon completion, you will earn a Professional Certificate, which will help to make your profile standout in your career journey.
Fractal Data Science Professional Certificate is one of the preferred qualifications for entry-level data science jobs at Fractal. Complete this certificate to make your profile standout from other candidates while applying for job openings at Fractal.Please read FAQ’s for T&C’s
1 ETHRWorld(Nov,21)
2 remote.com/blog/remote-job-roles

 
Applied Learning Project
Learners will be able to apply structured problem-solving techniques to dissect and address complex data-related challenges encountered in real-world scenarios and utilize SQL proficiency to retrieve and manipulate data and employ data visualization skills using Power BI to communicate insights. Becoming experts at Python programming to manipulate and analyze data. Learners will implement machine learning algorithms to create predictive models for diverse applications. And create compelling data stories to influence and inform your audience and master the art of critically analyzing data while making decisions and recommendations.

 
"
From Excel to Power BI,Knowledge Accelerators,Course,1 - 4 Weeks,4.6,4.6k,Beginner,https://www.coursera.org/learn/from-excel-to-power-bi,"45,829","['Business Analytics', 'Microsoft Excel', 'Data Analysis', 'Data Visualization (DataViz)', 'power bi']",[],"Want to know how to query and process petabytes of data in seconds? Curious about data analysis that scales automatically as your data grows? Welcome to the Data Insights course!
This four-course accelerated online specialization teaches course participants how to derive insights through data analysis and visualization using the Google Cloud Platform. The courses feature interactive scenarios and hands-on labs where participants explore, mine, load, visualize, and extract insights from diverse Google BigQuery datasets. The courses also cover data loading, querying, schema modeling, optimizing performance, query pricing, and data visualization.
This specialization is intended for the following participants:
● Data Analysts, Business Analysts, Business Intelligence professionals
● Cloud Data Engineers who will be partnering with Data Analysts to build scalable data solutions on Google Cloud Platform
To get the most out of this specialization, we recommend participants have some proficiency with ANSI SQL.
>>> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_serviceOpens in a new tab <<<
Applied Learning Project
This specialization incorporates hands-on labs using our Qwiklabs platform.
These hands on components will let you apply the skills you learn in the video lectures. Projects will incorporate topics such as Google Cloud Platform products, which are used and configured within Qwiklabs. You can expect to gain practical hands-on experience with the concepts explained throughout the modules.
"
From Likes to Leads: Interact with Customers Online,Google,Course,1 - 3 Months,4.4,131,Beginner,https://www.coursera.org/learn/from-likes-to-leads,"27,553","['Social Listening', 'Social Media Bidding', 'Customer Engagement', 'Social Media Analytics', 'Social Media Branding']","['Learners will be instructed in how to make use of Excel and Power BI to collect, maintain, share and collaborate, and to make data driven decisions']","Are you using Excel to manage, analyze, and visualize your data? Would you like to do more? Perhaps you've considered Power BI as an alternative, but have been intimidated by the idea of working in an advanced environment. The fact is, many of the same tools and mechanisms exist across both these Microsoft products. This means Excel users are actually uniquely positioned to transition to data modeling and visualization in Power BI! Using methods that will feel familiar, you can learn to use Power BI to make data-driven business decisions using large volumes of data. 
We will help you to build fundamental Power BI knowledge and skills, including: 
•	Importing data from Excel and other locations into Power BI.
•	Understanding the Power BI environment and its three Views.
•	Building beginner-to-moderate level skills for navigating the Power BI product.
•	Exploring influential relationships within datasets. 
•	Designing Power BI visuals and reports.
•	Building effective dashboards for sharing, presenting, and collaborating with peers in Power BI Service.

For this course you will need:
•	A basic understanding of data analysis processes in Excel.
•	At least a free Power BI licensed account, including:
•	The Power BI desktop application.
•	Power BI Online in Microsoft 365.

Course duration is approximately three hours. Learning is divided into five modules, the fifth being a cumulative assessment. The curriculum design includes video lessons, interactive learning using short, how-to video tutorials, and practice opportunities using COMPLIMENTARY DATASETS. Intended audiences include business students, small business owners, administrative assistants, accountants, retail managers, estimators, project managers, business analysts, and anyone who is inclined to make data-driven business decisions. Join us for the journey!
"
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,Specialization,3 - 6 Months,4.8,2.1k,Intermediate,https://www.coursera.org/specializations/scala,"116,552","['Scala Programming', 'Parallel Computing', 'Apache Spark', 'Functional Programming']","['Define social media marketing and describe its purpose', 'Identify core pillars of social media marketing: strategy, planning and publishing, listening and engagement, analytics and reporting, advertising', 'Define the goals of a social media campaign', 'Write, design, and repurpose engaging content for social media']","From Likes to Leads: Interact with Customers Online is the third of seven courses in the Google Digital Marketing & E-commerce Certificate. This course will help you develop social media marketing strategies. Social media is a key digital marketing channel for many businesses because of the large number of people who use social platforms to socialize, interact with businesses, and share content. No digital marketing strategy is complete without an online brand presence where customers can engage with a brand. In this course you’ll explore social media platforms and identify which platform is the most appropriate for specific business needs. You’ll learn how to create content for social media using graphic design principles for marketers and learn how to manage a social media presence. In addition you’ll set goals and success metrics for social media ads. 
Google employees who currently work in the field will guide you, providing hands-on activities and examples that simulate common digital marketing and e-commerce tasks while showing you some of the best tools and resources used on the job. 

Learners who complete the seven courses in this program will be equipped to apply for entry-level jobs in digital marketing and e-commerce. No previous experience is necessary.

By the end of this course, you will be able to do the following: 
- Identify the five core pillars of social media marketing: strategy, planning and publishing, listening and engagement, analytics and reporting, and advertising
- Determine how to choose social media platforms for a campaign
- Understand how to boost engagement on social media
- Learn how to write, design, and repurpose engaging content for social media
- Recognize how to use the data gathered from social media analytics as a decision-making tool
- Learn best practices for presenting a social media report
- Achieve specific marketing goals through the use of paid social media
"
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,10.6k,Beginner,https://www.coursera.org/specializations/accounting-fundamentals,"70,385","['Income Statement', 'Cost', 'Financial Statement', 'Balance Sheet']","['Write purely functional programs using recursion, pattern matching, and higher-order functions', 'Design immutable data structures', 'Write programs that effectively use parallel collections to achieve performance', 'Manipulate data with Spark and Scala']","This Specialization provides a hands-on introduction to functional programming using the widespread programming language, Scala. It begins from the basic building blocks of the functional paradigm, first showing how to use these blocks to solve small problems, before building up to combining these concepts to architect larger functional programs. You'll see how the functional paradigm facilitates parallel and distributed programming, and through a series of hands on examples and programming assignments, you'll learn how to analyze data sets small to large; from parallel programming on multicore architectures, to distributed programming on a cluster using Apache Spark. A final capstone project will allow you to apply the skills you learned by building a large data-intensive application using real-world data.
Applied Learning Project
Learners will build small to medium size Scala applications by applying knowledge and skills including: functional programming, parallel programming, manipulation of large data sets, higher-order functions, property-based testing, functional reactive programming.
"
Fundamentals of Computing,Rice University,Specialization,3 - 6 Months,4.7,1.9k,Beginner,https://www.coursera.org/specializations/computer-fundamentals,"27,875","['Recursion', 'Algorithms', 'Python Programming', 'Dynamic Programming']",[],"Accounting is the “language of business.”  Being able to understand this language allows individuals both inside and outside of an organization to join the “conversation” about how the organization is performing and how it can improve future performance.  Financial accounting focuses on the reports that managers generate to provide interested external parties a summary of the firm’s financial position and operations.  Managerial accounting focuses on the information and the analytical tools and techniques that help managers and employees make the right business decisions. 
In this Specialization, you will learn the fundamentals of both of these purposes of accounting.  More specifically, you will understand the financial statements that managers create, and be able to interpret and analyze these statements to assess the financial position of the organization.  You will also identify and understand the nature, purpose, and importance of different types of decision-useful accounting information, and use analytical tools and techniques to use this information to make business decisions.  Via the capstone, you will apply these fundamentals via the lens of a new business, creating a business plan, forecasts and budgets, and anticipated information needs for decisions made by you as owner and manager, your employees, and external parties such as future shareholders, creditors, and other constituents.  
"
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,Course,1 - 3 Months,4.8,4k,Mixed,https://www.coursera.org/learn/fe-exam,"59,337",[],[],"This Specialization covers much of the material that first-year Computer Science students take at Rice University, brought to you by the world-class FacultyOpens in a new tab who teach our master'sOpens in a new tab and PhD programs. Students learn sophisticated programming skills in Python from the ground up and apply these skills in building more than 20 fun projects.  The Specialization concludes with a Capstone exam that allows the students to demonstrate the range of knowledge that they have acquired in the Specialization.
"
Fundamentals of Finance,University of Pennsylvania,Course,1 - 3 Months,4.7,602,Beginner,https://www.coursera.org/learn/finance-fundamentals,"84,787",[],[],"The purpose of this course is to review the material covered in the Fundamentals of Engineering (FE) exam to enable the student to pass it.  It will be presented in modules corresponding to the FE topics, particularly those in Civil and Mechanical Engineering.  Each module will review main concepts, illustrate them with examples, and provide extensive practice problems.
"
Fundamentals of Flight mechanics,ISAE-SUPAERO,Specialization,3 - 6 Months,3.9,817,Beginner,https://www.coursera.org/specializations/flight-mechanics-fundamentals,"82,288","['Airplane conception and validation', 'Flight dynamics', 'Applied aerodynamics', 'Aerospace Engineering', 'Flight mechanics']",[],"In this course, you’ll learn the basic fundamentals of corporate finance. Based on the pre-term qualifying courses for Wharton MBA students, Professor Jessica Wachter has designed this course for learners who need a refresher in financial concepts, or for those who are learning about corporate finance for the first time. You’ll identify foundational concepts in corporate finance, such as NPV, Compound and Simple Interest, and Annuities versus Perpetuities. You’ll also learn how to apply the NPV framework to calculating fixed-income valuation and Equity, using hypothetical examples of corporate projects. By the end of this course, you’ll have honed your skills in calculating risk and returns to optimize investments, and be able to assess the right set of financial information to achieve better returns for your firm.
"
Fundamentals of GIS,"University of California, Davis",Course,1 - 4 Weeks,4.7,341,Beginner,https://www.coursera.org/learn/gis,"4,896","['Spatial Analysis', 'Data Analysis', 'Data Visualization (DataViz)', 'Software']","['How Mach number can impact stall speed.', 'Why turboprops consume less than turbojets.', 'What exactly mean indications given by flight instruments (i.e. anemometer, altimeter).']","How do planes take off? How do they fly? How do pilots maintain control of them? And how high can airplanes fly?

Get answers to all these questions and more with this specialization exploring the fundamentals of flight mechanics. You will learn how the laws of physics apply to airplanes and discover important concepts in aviation including lift, drag, and propulsion.
Applied Learning Project
In each course, learners are invited to complete exercises in the form of case studies to put into practice the skills they have learned. These exercises are built around simulators allowing the manipulation of variables defined by the learner himself.
"
Fundamentals of Graphic Design,California Institute of the Arts,Course,1 - 3 Months,4.8,5.4k,Beginner,https://www.coursera.org/learn/fundamentals-of-graphic-design,"156,015","['Creativity', 'Graphics', 'Design Theory', 'Color Theory']","['Define core geospatial concepts', 'Practice with subset data using selections and feature attributes', 'Create map books using advanced mapping techniques', 'Create layer and map packages']","Explore the world of spatial analysis and cartography with geographic information systems (GIS). In this class you will learn the basics of the industry’s leading software tool, ArcGIS, during four week-long modules: 
Week 1: Learn how GIS grew from paper maps to the globally integrated electronic software packages of today. You will install ArcGIS on your computer and learn how to use online help to answer technical questions.

Week 2: Open up ArcGIS and explore data using ArcMap. Learn the foundational concepts of GIS, how to analyze data, and make your first map.

Week 3: Make your own maps! Symbolize data and create an eye-catching final product. 

Week 4: Share your data and maps and learn to store and organize your data.

Take Fundamentals of GIS as a standalone course or as part of the Geographic Information Systems (GIS) Specialization. By completing the first class in the Specialization you will gain the skills needed to succeed in the full program.

Students who need an ArcGIS license will receive a non-commercial, 1 year student license for participation in this course and specialization.
"
Fundamentals of Immunology,Rice University,Specialization,3 - 6 Months,4.8,16.7k,Intermediate,https://www.coursera.org/specializations/immunology,"730,532",[],"['Implement the fundamentals of color: visual, rhythm, and pattern in design ', 'Use scale, weight, direction, texture, and space in a composition ', 'Typeset text and experiment with letter forms', 'Create your own series of images using different image making techniques  ']","Graphic Design is all around us! Words and pictures—the building blocks of graphic design—are the elements that carry the majority of the content in both the digital world and the printed world. As graphic design becomes more visible and prevalent in our lives, graphic design as a practice becomes more important in our culture.
Through visual examples, this course will teach you the fundamental principles of graphic design: imagemaking, typography, composition, working with color and shape... foundational skills that are common in all areas of graphic design practice. I don't just want you to watch a video of someone talking about design, I want you to MAKE design! If you want to be a designer you have to be a maker and a communicator, so this course will offer you lots of opportunities to get your hands dirty with exercises and with more practical projects.

At the end of this course you will have learned how to explore and investigate visual representation through a range of image-making techniques; understand basic principles of working with shape, color and pattern; been exposed to the language and skills of typography; and understand and have applied the principles of composition and visual contrast. If you complete the course, along with its optional (but highly recommended) briefs, you will have a core set of graphic design skills that you can apply to your own projects, or to more deeply investigate a specialized area of graphic design.

To succeed in this course you will need access to a computer. You can complete this course without one but it will be tougher. Access to, and a beginner's level knowledge of Adobe Creative Suite programs, such as Illustrator, Photoshop and InDesign will help you, especially if you want to complete the optional briefs.
"
Fundamentals of Machine Learning for Healthcare,Stanford University,Course,1 - 3 Months,4.7,2.1k,Beginner,https://www.coursera.org/learn/fundamental-machine-learning-healthcare,"17,164",[],[],"This specialization is designed to equip students with the basic concepts and vocabulary of immunology. The goal is to provide students from different backgrounds with a fundamental understanding of immunology and the ability to appreciate and analyze new developments in immunological therapies designed for the treatment of disease.
Applied Learning Project
In the Fundamentals of Immunology Specialization, you will learn the basics of innate immunity, including complement, and its role in inflammation and activation of adaptive immunity.
The development of B cells and the production and improvement of antibodies.

The development of Th cells and their roles in promoting both immune responses and tolerance.

The role of the Major Histocompatibility Proteins in alerting T cells and their role in the success of organ and tissue transplants.

The mechanisms whereby cytotoxic T cells and natural kill cells recognize rogue-self cells and prod them into apoptosis.

The principles of chemical communication among immune cells.

Some example of how the immune system can cause problems and how we deal with these issues.

"
Fundamentals of Music Theory,The University of Edinburgh,Course,1 - 3 Months,4.8,347,Beginner,https://www.coursera.org/learn/edinburgh-music-theory,"18,504","['Scales', 'Notation', 'Harmony', 'Rhythm', 'Chords']","['Define important relationships between the fields of machine learning, biostatistics, and traditional computer programming.', 'Learn about advanced neural network architectures for tasks ranging from text classification to object detection and segmentation.', 'Learn important approaches for leveraging data to train, validate, and test machine learning models.', 'Understand how dynamic medical practice and discontinuous timelines impact clinical machine learning application development and deployment.']","Machine learning and artificial intelligence hold the potential to transform healthcare and open up a world of incredible promise. But we will never realize the potential of these technologies unless all stakeholders have basic competencies in both healthcare and machine learning concepts and principles. 
This course will introduce the fundamental concepts and principles of machine learning as it applies to medicine and healthcare. We will explore machine learning approaches, medical use cases, metrics unique to healthcare, as well as best practices for designing, building, and evaluating machine learning applications in healthcare.

The course will empower those with non-engineering backgrounds in healthcare, health policy, pharmaceutical development, as well as data science with the knowledge to critically evaluate and use these technologies.

 
Co-author: Geoffrey Angus
 
Contributing Editors:
Mars Huang
Jin Long
Shannon Crawford
Oge Marques


In support of improving patient care, Stanford Medicine is jointly accredited by the Accreditation Council for Continuing Medical Education (ACCME), the Accreditation Council for Pharmacy Education (ACPE), and the American Nurses Credentialing Center (ANCC), to provide continuing education for the healthcare team. Visit the FAQs below for important information regarding 1) Date of the original release and expiration date; 2) Accreditation and Credit Designation statements; 3) Disclosure of financial relationships for every person in control of activity content.
"
Fundamentals of Project Planning and Management,University of Virginia,Course,1 - 4 Weeks,4.5,1.7k,Beginner,https://www.coursera.org/learn/uva-darden-project-management,"334,604","['Risk Analysis', 'Project Planning', 'Planning', 'Management', 'Project Management']",[],"This course, revised in 2022, will introduce you to the theory of music, providing you with the skills needed to read and write Western music notation, as well as to understand, analyse, and listen informedly.
It will cover material such as pitches and scales, intervals, clefs, rhythm, form, metre and time signatures, phrases and cadences, and basic harmony.

This course covers the fundamentals of Western music theory, from the absolute basics to some more advanced concepts. As such, it delivers material for beginners and offers much to experienced musicians alike.
"
Fundamentals of Quantitative Modeling,University of Pennsylvania,Course,1 - 4 Weeks,4.7,9.2k,Mixed,https://www.coursera.org/learn/wharton-quantitative-modeling,"312,961","['Modeling', 'Linear Regression', 'Probabilistic Models', 'Regression Analysis']","['How to initiate, define and organize a project', 'How to develop a project plan, including scoping, sequencing tasks, and determining a critical path', 'How to assess, prioritize and manage project risk', 'How to execute projects and use the earned value approach for monitoring and controlling progress']","Projects are all around us. Virtually every organization runs projects, either formally or informally. We are engaged in projects at home and at work. Across settings, planning principles and execution methodologies can offer ways in which projects can be run more effectively and efficiently. Project management provides organizations (and individuals) with the language and the frameworks for scoping projects, sequencing activities, utilizing resources, and minimizing risks.
This is an introductory course on the key concepts of planning and executing projects. We will identify factors that lead to project success, and learn how to plan, analyze, and manage projects. Learners will be exposed to state-of-the-art methodologies and to considering the challenges of various types of projects.
"
Fundamentals of Reinforcement Learning,University of Alberta,Course,1 - 3 Months,4.6,8.6k,Intermediate,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning,"206,775","['Artificial Intelligence (AI)', 'Machine Learning', 'Reinforcement Learning', 'Function Approximation', 'Intelligent Systems']",[],"How can you put data to work for you? Specifically, how can numbers in a spreadsheet tell us about present and past business activities, and how can we use them to forecast the future? The answer is in building quantitative models, and this course is designed to help you understand the fundamentals of this critical, foundational, business skill. Through a series of short lectures, demonstrations, and assignments, you’ll learn the key ideas and process of quantitative modeling so that you can begin to create your own models for your own business or enterprise. By the end of this course, you will have seen a variety of practical commonly used quantitative models as well as the building blocks that will allow you to start structuring your own models. These building blocks will be put to use in the other courses in this Specialization.
"
Fundamentals of Social Media Advertising,Meta,Course,1 - 3 Months,4.8,2.7k,Beginner,https://www.coursera.org/learn/social-media-advertising-fundamentals,"81,488","['Social Media Marketing', 'Brand Management', 'Campaign Management', 'Ad Management']","['Formalize problems as Markov Decision Processes \r', 'Understand basic exploration methods and the exploration / exploitation tradeoff\r', 'Understand value functions, as a general-purpose tool for optimal decision-making\r', 'Know how to implement dynamic programming as an efficient solution approach to an industrial control problem']","Reinforcement Learning is a subfield of Machine Learning, but is also a general purpose formalism for automated decision-making and AI. This course introduces you to statistical learning techniques where an agent explicitly takes actions and interacts with the world. Understanding the importance and challenges of learning agents that make decisions is of vital importance today, with more and more companies interested in interactive agents and intelligent decision-making. 
This course introduces you to the fundamentals of Reinforcement Learning. When you finish this course, you will:
- Formalize problems as Markov Decision Processes 
- Understand basic exploration methods and the exploration/exploitation tradeoff
- Understand value functions, as a general-purpose tool for optimal decision-making
- Know how to implement dynamic programming as an efficient solution approach to an industrial control problem

This course teaches you the key concepts of Reinforcement Learning, underlying classic and modern algorithms in RL. After completing this course, you will be able to start using RL for real problems, where you have or can specify the MDP. 

This is the first course of the Reinforcement Learning Specialization.
"
Fundamentals of Technology Sales,"University of Maryland, College Park",Course,1 - 3 Months,4.8,2.1k,Beginner,https://www.coursera.org/learn/fundamentals-of-technology-sales,"80,997","['Sales Development', 'Sales Management', 'Sales Strategy', 'Sales', 'Sales Presentation']","['How to evaluate on which platforms to run social media ad campaigns and what makes an ad effective', 'How to craft compelling and effective visuals and copy for social media ads', 'Build an ad directly from your Facebook business page and your Instagram business account', 'Write a creative brief and create a social media ad']","Beautiful Course all deep concepts clearly explain wow its amazing teaching skill. A very friendly teaching style motivates me to learn more thank you very much, Dear professor, Daniel Kob.
"
Fundamentos de la ciberseguridad,Google,Course,1 - 4 Weeks,4.6,65,Beginner,https://www.coursera.org/learn/fundamentos-de-la-ciberseguridad,"5,831","['Ética', 'Seguridad de la información (INFOSEC)', 'Marco de ciberseguridad del NIST (CSF)', 'Ataques históricos a la ciberseguridad', 'Ciberseguridad']","['Explore career opportunities in emerging technologies such as cloud computing and cyber security.', 'Understand how to consult, present, and solve problems with new technology for success in selling.', 'Develop your knowledge of how to sell to private companies, public companies, and local, state, and federal governments.', 'Learn a proven four-step methodology for success as a technology sales professionals.']","With tens of thousands of jobs in technology sales available, this is a rapidly emerging opportunity that needs sharp people to make critical connections between technical solutions and technical buyers, company owners, and decision-makers. The rapid growth in artificial intelligence, blockchain, cloud computing, cyber security, Internet of Things, and more requires effective sales professionals to help bring these products and services to market.
Imagine helping transform an industry of business customers from traditional computers and large on-premise storage rooms littered with vulnerabilities and cyber threats to technologically advanced, low-cost, scalable technology and proven secure environments. With expert-led training and practice in this course, you’ll have the opportunity to confidently drive revenue for your employer and your customers.
"
Fundamentos de la gestión de proyectos,Google,Course,1 - 4 Weeks,4.9,677,Beginner,https://www.coursera.org/learn/fundamentos-de-la-gestion-de-proyectos,"11,297","['Gestión de proyectos', 'Cultura de la organización', 'Pensamiento estratégico', 'desarrollo profesional', 'gestión de cambios']","['Reconoce las habilidades y conocimientos básicos necesarios para convertirte en analista de ciberseguridad', 'Identifica cómo los ataques a la ciberseguridad afectan a las operaciones comerciales', 'Qué es la ética de seguridad?', 'Identifica las herramientas más comunes que se utilizan en el análisis de ciberseguridad']","En este primer curso del Certificado de Ciberseguridad de Google conocerás el mundo de la ciberseguridad a través de un plan de estudios interactivo, desarrollado por Google. Identificarás los eventos significativos que llevaron al desarrollo del campo de la ciberseguridad, conocerás su importancia para las operaciones comerciales actuales y explorarás las responsabilidades y habilidades laborales de un/a analista de ciberseguridad de nivel inicial. 
Te guiarán especialistas de Google, que actualmente trabajan en ciberseguridad, con actividades prácticas y ejemplos que simulan tareas comunes y frecuentes de este campo. Todo esto te ayudará a desarrollar tus habilidades y prepararte para trabajar.

Los/las estudiantes que completen este certificado estarán preparados/as para solicitar trabajo en el área de la ciberseguridad, en un nivel inicial. No se necesita experiencia previa.
"
Fundamentos del marketing digital y comercio electrónico,Google,Course,1 - 4 Weeks,4.9,4.6k,Beginner,https://www.coursera.org/learn/fundamentos-del-marketing-digital-y-comercio-electronico,"74,386","['Marketing', 'Fidelidad del cliente', 'Análisis y estadísticas de marketing', 'Acercamiento al cliente', 'Comercio electrónico']","['Describir las destrezas, funciones y responsabilidades de la gestión de proyectos en una variedad de sectores.', 'Explicar el ciclo de vida de la gestión de proyectos y comparar las diferentes metodologías de gestión de programas', 'Definir la estructura y la cultura de la organización y explicar cómo repercute en la gestión de proyectos.']","Este curso es el primero de una serie de seis que te dota de las destrezas que necesitas para aplicar a los roles de nivel introductorio en la gestión de proyectos. Los gerentes de proyectos desempeñan un papel clave en la dirección, planificación e implementación de proyectos críticos para ayudar a sus organizaciones a tener éxito. En este curso, descubrirás la terminología fundamental de la gestión de proyectos y adquirirás una comprensión más profunda del papel y las responsabilidades de un gerente de proyectos. También te presentaremos los tipos de trabajos que podrías realizar después de completar este programa. A lo largo del programa, aprenderás de los gerentes de proyectos actuales de Google, que pueden proporcionarte una experiencia educativa multidimensional que te ayudará a desarrollar tus destrezas para la aplicación práctica. 
Los alumnos que completen este programa deben contar con lo necesario para presentarse como candidatos para trabajos de nivel introductorio como gerentes de proyectos. No se requiere experiencia previa.

Al final de este curso, serás capaz de:
- Definir la gestión de proyectos y describir qué constituye un proyecto.
- Explorar las funciones y responsabilidades de la gestión de proyectos en una variedad de sectores.
- Detallar las destrezas básicas que ayudan a tener éxito a un gerente de proyectos.
- Describir el ciclo de vida de un proyecto y explicar la importancia de cada fase.
- Comparar diferentes metodologías y enfoques de gestión de programas y determinar cuál es el más efectivo para un proyecto determinado.
- Definir la estructura y la cultura de la organización y explicar cómo repercuten en la gestión de proyectos. 
- Definir la gestión de cambios y describir el papel del gerente de proyectos en el proceso.
"
